,lat,lon,power,geometry
1638670944,63.7536766,27.1641575,-43.0,POINT (27.1641575 63.7536766)
1639894556,61.1317451,27.8605096,-21.0,POINT (27.8605096 61.1317451)
1646643185,60.5115644,22.4361534,-157.0,POINT (22.4361534 60.5115644)
1646644103,60.6421881,22.5619201,-41.0,POINT (22.5619201 60.6421881)
1646644160,60.6981032,22.587544,-98.0,POINT (22.587544 60.6981032)
1647159201,63.0635358,21.8126856,3.26,POINT (21.8126856 63.0635358)
1647159252,63.0694321,21.7915925,3.26,POINT (21.7915925 63.0694321)
1650165112,60.3961857,22.7606739,-28.0,POINT (22.7606739 60.3961857)
1650165329,60.4230768,22.6799989,3.65,POINT (22.6799989 60.4230768)
1650165414,60.4294732,22.7153124,3.65,POINT (22.7153124 60.4294732)
1651438449,61.2528101,24.0261484,13.98,POINT (24.0261484 61.2528101)
1652865042,62.4425621,24.8853242,-15.0,POINT (24.8853242 62.4425621)
1655226900,62.9359946,25.0048267,8.56,POINT (25.0048267 62.9359946)
1655227042,62.9563478,24.997236,-16.0,POINT (24.997236 62.9563478)
1672119158,62.6130225,22.4155761,-195.0,POINT (22.4155761 62.6130225)
1672119556,62.7236077,22.6017178,-159.0,POINT (22.6017178 62.7236077)
1672840206,64.820101,25.5199431,-48.0,POINT (25.5199431 64.820101)
1673355821,61.7924583,26.1007795,-50.0,POINT (26.1007795 61.7924583)
1689185840,61.4614949,23.4381786,104.84,POINT (23.4381786 61.4614949)
1693143862,64.926702,25.4130397,24.16,POINT (25.4130397 64.926702)
1702699450,62.3216736,26.500334,-65.0,POINT (26.500334 62.3216736)
1703644862,62.3320753,27.8394065,-824.0,POINT (27.8394065 62.3320753)
1704356599,61.9866114,26.620813,-57.0,POINT (26.620813 61.9866114)
1709364055,64.0906912,24.5561378,-151.0,POINT (24.5561378 64.0906912)
1709364170,64.1775837,24.3130532,-19.0,POINT (24.3130532 64.1775837)
1709364230,64.1962926,24.4978678,96.09,POINT (24.4978678 64.1962926)
1709364236,64.1982223,24.494779,96.09,POINT (24.494779 64.1982223)
1710214735,61.3564525,24.2128432,-31.0,POINT (24.2128432 61.3564525)
1712542944,61.8012671,28.3297499,-35.0,POINT (28.3297499 61.8012671)
1712543003,61.8038366,28.3432369,-30.0,POINT (28.3432369 61.8038366)
1714285505,62.4797506,22.9341251,536.15,POINT (22.9341251 62.4797506)
1716355746,62.0245663,23.0991903,-73.0,POINT (23.0991903 62.0245663)
1734598397,61.2596315,24.9788767,-33.0,POINT (24.9788767 61.2596315)
1774983916,60.1391829,24.2462307,-56.0,POINT (24.2462307 60.1391829)
1782215673,64.8204484,26.0161848,-76.0,POINT (26.0161848 64.8204484)
1783816745,60.9028575,23.3905746,-21.0,POINT (23.3905746 60.9028575)
1788509068,60.6893255,26.8423461,88.58,POINT (26.8423461 60.6893255)
1788509352,60.6956776,26.8343314,88.58,POINT (26.8343314 60.6956776)
1789872614,62.7996471,22.8219219,-726.0,POINT (22.8219219 62.7996471)
1790799758,62.2705291,25.212066,-30.0,POINT (25.212066 62.2705291)
1792075944,61.1843946,27.7147505,-36.0,POINT (27.7147505 61.1843946)
1799421672,63.7657511,24.2419366,-38.0,POINT (24.2419366 63.7657511)
1799422016,63.8463967,23.9200208,-72.0,POINT (23.9200208 63.8463967)
1800607540,60.6649768,21.9856293,-70.0,POINT (21.9856293 60.6649768)
1802301146,64.5713623,26.6592356,367.5,POINT (26.6592356 64.5713623)
1802301147,64.5730504,26.6641673,367.5,POINT (26.6641673 64.5730504)
1802301430,64.7366252,26.4748969,210.7,POINT (26.4748969 64.7366252)
1802301445,64.7487457,26.4038592,-39.0,POINT (26.4038592 64.7487457)
1802476065,62.1372276,25.7667659,-21.0,POINT (25.7667659 62.1372276)
1815195850,67.5927504,24.1226366,-39.0,POINT (24.1226366 67.5927504)
1815903124,61.8156299,24.45575,-50.0,POINT (24.45575 61.8156299)
1818681174,60.8794381,26.6840377,-2781.0,POINT (26.6840377 60.8794381)
1842895869,61.8787539,29.0628965,-47.0,POINT (29.0628965 61.8787539)
1849492971,60.4683095,22.0408304,-396.0,POINT (22.0408304 60.4683095)
